Sno,Episodes,Title,Director,Writer,Air_date,Seasons,Viewers
117,9,"""Motion to Delay""",Christopher Misiano,Aaron Korsh & Genevieve Sparling,"September 12, 2018",S8,1.07
118,10,"""Managing Partner""",Silver Tree,Aaron Korsh & Ethan Drogin,"September 19, 2018",S8,1.08
119,11,"""Rocky 8""",Roger Kumble,Michael L. Kramer,"January 23, 2019",S8,0.82
120,12,"""Whale Hunt""",Valerie Weiss,Ian Deitchman & Kristin Robinson,"January 30, 2019",S8,0.91
121,13,"""The Greater Good""",Darren Grant,Garrett Schabb,"February 6, 2019",S8,0.77
122,14,"""Peas in a Pod""",Christopher Misiano,Sharyn Rothstein & Jordan Pomaville,"February 13, 2019",S8,0.78
123,15,"""Stalking Horse""",Chloe Domont,Ethan Drogin & Genevieve Sparling,"February 20, 2019",S8,0.69
124,16,"""Harvey""",Christopher Misiano,Aaron Korsh & Genevieve Sparling & Ethan Drogin,"February 27, 2019",S8,0.74
125,1,"""Everything's Changed""",Christopher Misiano,Aaron Korsh,"July 17, 2019",S9,1.04
126,2,"""Special Master""",Michael Smith,Genevieve Sparling,"July 24, 2019",S9,1.04
127,3,"""Windmills""",Gabriel Macht,Marshall Knight & Rob LaMorgese,"July 31, 2019",S9,0.94
128,4,"""Cairo""",Anton Cropper,Sharyn Rothstein,"August 7, 2019",S9,1.00
129,5,"""If the Shoe Fits""",Christopher Misiano,Jeffrey M. Lee & Jordan Pomaville,"August 14, 2019",S9,0.96
130,6,"""Whatever It Takes""",Michael Smith,Ethan Drogin,"August 21, 2019",S9,1.05
131,7,"""Scenic Route""",Emile Levisetti,Garrett Schabb,"September 4, 2019",S9,1.07
132,8,"""Prisoner's Dilemma""",Julian Holmes,Ethan Drogin,"September 11, 2019",S9,0.97
133,9,"""Thunder Away""",Robert Duncan McNeill,Genevieve Sparling,"September 18, 2019",S9,0.96
134,10,"""One Last Con""",Aaron Korsh,Aaron Korsh,"September 25, 2019",S9,0.86
